69/69logo_small;69LOGO_SMALL
ctf_cas_b/qer_atech1_b;QER_ATECH1_B
ctf_cas_b/qer_atech1_r;QER_ATECH1_R
ctf_cas_b/qer_shiney_p;QER_SHINEY_P
ctf_cas_b/rock1;ROCK100
ctf_cas_b/rust_plate_b;RUST_PLATE_B
ctf_cas_b/rust_plate_r;RUST_PLATE_R
ctf_cas_b/solid_blue;SOLID_BLUE
ctf_cas_b/solid_red;SOLID_RED
ctf_cas_b/striperust128_b;STRIPERUST128_B
ctf_cas_b/striperust128_r;STRIPERUST128_R
ctf_cas_b/support1_6;SUPPORT1_6
ctf_cas_b/supportctfblue;SUPPORTCTFBLUE
ctf_cas_b/supportctfred;SUPPORTCTFRED
ctf_cas_b/teleporter_x;TELEPORTER_X
ctf_cas_dc/dangertrim;DANGERTRIM
ctf_cas_dc/metwall;METWALL
ctf_cas_dc/metwall_dark;METWALL_DARK
ctf_cas_dc/metwall_dark_ceiling;METWALL_DARK_CE
ctf_cas_dc/rail03;RAIL03
ctf_cas_g/archpart6_b;ARCHPART6_B00
ctf_cas_g/gkc15b_18c3;GKC15B_18C3
ctf_cas_g/gkc15c_18c3;GKC15C_18C3
ctf_cas_g/gkc18b_18c3;GKC18B_18C3
ctf_cas_g/gkc19a_18c3;GKC19A_18C3
ctf_cas_g/gkc20a_18c3;GKC20A_18C3
ctf_cas_g/greenmet2bx;GREENMET2BX
ctf_cas_g/km_arena1tower1_r;KM_ARENA1TOWE01
ctf_cas_g/qer_rust3_nonsolid;QER_RUST3_NONSO
ctf_cas_g/tallred_2bshort2_fin;TALLRED_2BSHORT
ctf_cas_g/woodceiling1c_dark;WOODCEILING1C_D
ctf_cas_kilt/kilt_skulls3_wicked1;KILT_SKULLS3_WI
ctf_cas_kilt/kilt_skulls3_wicked1_b;KILT_SKULLS3_00
ctf_cas_l/1;1
ctf_cas_l/2;2
ctf_cas_l/3;3
ctf_cas_l/4;4
ctf_cas_l/5;5
ctf_cas_l/6;6
ctf_cas_l/7;7
ctf_cas_l/beige;BEIGE
ctf_cas_l/black;BLACK00010203
ctf_cas_l/bluestuff;BLUESTUFF
ctf_cas_l/border_nolight_b;BORDER_NOLIGHT_
ctf_cas_l/border_nolight_r;BORDER_NOLIGH00
ctf_cas_l/borderlight_b;BORDERLIGHT_B00
ctf_cas_l/borderlight_r;BORDERLIGHT_R
ctf_cas_l/bounce_concrete_dk;BOUNCE_CONCRETE
ctf_cas_l/bounce_pewter;BOUNCE_PEWTER
ctf_cas_l/bulb1;BULB1
ctf_cas_l/bulb2;BULB2
ctf_cas_l/caseyalpha;CASEYALPHA
ctf_cas_l/caslite_01;CASLITE_01
ctf_cas_l/caslite_grille;CASLITE_GRILLE
ctf_cas_l/energy;ENERGY
ctf_cas_l/firewallb;FIREWALLB
ctf_cas_l/flare;FLARE
ctf_cas_l/flare_blue;FLARE_BLUE
ctf_cas_l/flare_red;FLARE_RED
ctf_cas_l/flare03;FLARE03
ctf_cas_l/g_light;G_LIGHT
ctf_cas_l/greenstuff;GREENSTUFF
ctf_cas_l/ironcrossltblue;IRONCROSSLTBL00
ctf_cas_l/ironcrossltred;IRONCROSSLTRED
ctf_cas_l/light2_b;LIGHT2_B
ctf_cas_l/logo256;LOGO256
ctf_cas_l/patch10lite_b;PATCH10LITE_B
ctf_cas_l/patch10lite_r;PATCH10LITE_R
ctf_cas_l/proto_darkblue;PROTO_DARKBLUE
ctf_cas_l/proto_darkred;PROTO_DARKRED
ctf_cas_l/proto_lightamber;PROTO_LIGHTAMBE
ctf_cas_l/proto_lightblue;PROTO_LIGHTBL03
ctf_cas_l/qer_bigblacksky;QER_BIGBLACKSKY
ctf_cas_l/qer_dimclouds;QER_DIMCLOUDS
ctf_cas_l/redstuff;REDSTUFF
ctf_cas_l/transparency2;TRANSPARENCY2
ctf_cas_l/txt_acme;TXT_ACME
ctf_cas_l/txt_mckinley;TXT_MCKINLEY
ctf_cas_l/txt_portal1;TXT_PORTAL1
ctf_cas_l/txt_tele;TXT_TELE
ctf_cas_l/txt_tele2;TXT_TELE2
ctf_cas_l/txt_tele3;TXT_TELE3
ctf_cas_l/txt_tele4;TXT_TELE4
ctf_cas_l/txt_wind;TXT_WIND
ctf_cas_l/white;WHITE00
ctf_cas_l/wstlt1_5;WSTLT1_50001
ctf_cas_l/zap_ball;ZAP_BALL
ctf_cas_l/zap_ball2;ZAP_BALL2
ctf_cas_v/qer_rock1;QER_ROCK1
ctf_cas_v/qerv_concrete_dark;QERV_CONCRETE_D
ctf_cas_v/qerv_concrete_dark_indent;QERV_CONCRETE00
ctf_cas_v/qerv_concrete_dark_seams;QERV_CONCRETE01
ctf_cas_v/qerv_diamond2c;QERV_DIAMOND2C
ctf_cas_v/qerv_pewter;QERV_PEWTER
ctf_cas_v/qerv_pitted_rust;QERV_PITTED_RUS
ctf_cas_v/qerv_pitted_rust_mid;QERV_PITTED_R00
ctf_cas_v/qerv_pitted_rust_shade;QERV_PITTED_R01
ctf_cas_v/qerv_rustygrate;QERV_RUSTYGRATE
ctf_cas_v/rock1_v;ROCK1_V
ctf_cas_v/weapfloor_1_v;WEAPFLOOR_1_V
ctf_q3w/b_flame7bright;B_FLAME7BRIGHT
ctf_q3w/backtowerfinal;BACKTOWERFINAL
ctf_q3w/baseboard09_b;BASEBOARD09_B
ctf_q3w/baseboard09_j;BASEBOARD09_J
ctf_q3w/blacktongue;BLACKTONGUE
ctf_q3w/blocks18c_3_b;BLOCKS18C_3_B00
ctf_q3w/blocks18c_3_evilwindow;BLOCKS18C_3_EVI
ctf_q3w/blocks18c_3_r;BLOCKS18C_3_R00
ctf_q3w/blocks18c_b;BLOCKS18C_B00
ctf_q3w/blocks18c_r;BLOCKS18C_R00
ctf_q3w/bluemet2;BLUEMET2
ctf_q3w/border11c_pulse1b_r;BORDER11C_PUL07
ctf_q3w/bounce_metalbridge04;BOUNCE_METALBRI
ctf_q3w/bouncepad01_metalbridge06b;BOUNCEPAD01_MET
ctf_q3w/bouncepad01b_layer1_b;BOUNCEPAD01B_03
ctf_q3w/bouncepad01b_layer1_r;BOUNCEPAD01B_04
ctf_q3w/casey;CASEY00
ctf_q3w/ceilingtech01_c;CEILINGTECH01_C
ctf_q3w/ceilingtech01_g;CEILINGTECH01_G
ctf_q3w/ceilingtech01_h;CEILINGTECH01_H
ctf_q3w/ceilingtech02_bdark;CEILINGTECH02_B
ctf_q3w/ceilingtech02_cdark;CEILINGTECH02_C
ctf_q3w/church6a;CHURCH6A
ctf_q3w/clangdark_ow3;CLANGDARK_OW300
ctf_q3w/clangdarkspot;CLANGDARKSPOT00
ctf_q3w/door02_bred;DOOR02_BRED
ctf_q3w/gkc18a;GKC18A
ctf_q3w/hellfog;HELLFOG
ctf_q3w/ironcrosslt1;IRONCROSSLT100
ctf_q3w/jumppadsmall_b;JUMPPADSMALL_02
ctf_q3w/jumppadsmall_r;JUMPPADSMALL_03
ctf_q3w/killblock_i2_b;KILLBLOCK_I2_01
ctf_q3w/killblock_i2_r;KILLBLOCK_I2_02
ctf_q3w/metal_b;METAL_B0001
ctf_q3w/metal_r;METAL_R0001
ctf_q3w/metalbase03a_blocks18c3_4;METALBASE03A_BL
ctf_q3w/metalblackwave01;METALBLACKWAVE0
ctf_q3w/metalbridge02c;METALBRIDGE02C
ctf_q3w/metalbridge02d;METALBRIDGE02D
ctf_q3w/metalfloor_wall_5b;METALFLOOR_WA11
ctf_q3w/pent_metalbridge06b;PENT_METALBRIDG
ctf_q3w/pentagramfloor_red3test;PENTAGRAMFLOOR_
ctf_q3w/pittedrust3stripes_fix;PITTEDRUST3ST00
ctf_q3w/q1metal7_98;Q1METAL7_98
ctf_q3w/q3ctf2;Q3CTF2
ctf_q3w/q3w2;Q3W2
ctf_q3w/qer_border11c;QER_BORDER11C
ctf_q3w/shuga;SHUGA00
ctf_q3w/skullsvert01a;SKULLSVERT01A
ctf_q3w/skullsvert01b;SKULLSVERT01B
ctf_q3w/tallblue_5e_fin;TALLBLUE_5E_F00
ctf_q3w/tilefloor2;TILEFLOOR200
ctf_q3w/tilefloor2a;TILEFLOOR2A00
ctf_q3w/window3;WINDOW3
ctf_unified/banner01_blue;BANNER01_BLUE
ctf_unified/banner01_red;BANNER01_RED
ctf_unified/banner02_blue;BANNER02_BLUE
ctf_unified/banner02_red;BANNER02_RED
ctf_unified/banner02_toast_blue;BANNER02_TOAST_
ctf_unified/banner02_toast_red;BANNER02_TOAS00
ctf_unified/banner03_blue;BANNER03_BLUE
ctf_unified/banner03_red;BANNER03_RED
ctf_unified/banner04_blue;BANNER04_BLUE
ctf_unified/banner04_red;BANNER04_RED
ctf_unified/blueenvmap;BLUEENVMAP
ctf_unified/blueenvmap2;BLUEENVMAP2
ctf_unified/bounce_base;BOUNCE_BASE00
ctf_unified/bounce_shadow;BOUNCE_SHADOW00
ctf_unified/direction_blue;DIRECTION_BLUE
ctf_unified/direction_faded_blue;DIRECTION_FADED
ctf_unified/direction_faded_red;DIRECTION_FAD00
ctf_unified/direction_red;DIRECTION_RED
ctf_unified/floor_logo_blue;FLOOR_LOGO_BLUE
ctf_unified/floor_logo_red;FLOOR_LOGO_RED
ctf_unified/floor_monologo_blue;FLOOR_MONOLOGO_
ctf_unified/floor_monologo_red;FLOOR_MONOLOG00
ctf_unified/pentfloor_base;PENTFLOOR_BASE
ctf_unified/plaque_alpha_blue;PLAQUE_ALPHA_BL
ctf_unified/plaque_alpha_red;PLAQUE_ALPHA_RE
ctf_unified/pointer_blue;POINTER_BLUE
ctf_unified/pointer_left_blue;POINTER_LEFT_BL
ctf_unified/pointer_left_red;POINTER_LEFT_RE
ctf_unified/pointer_red;POINTER_RED
ctf_unified/pointer_right_blue;POINTER_RIGHT_B
ctf_unified/pointer_right_red;POINTER_RIGHT_R
ctf_unified/qer_bounce;QER_BOUNCE
ctf_unified/qer_bounce_blue;QER_BOUNCE_BLUE
ctf_unified/qer_bounce_red;QER_BOUNCE_RED
ctf_unified/qer_pentfloor_blue;QER_PENTFLOOR_B
ctf_unified/qer_pentfloor_red;QER_PENTFLOOR_R
ctf_unified/qer_tech_blue;QER_TECH_BLUE
ctf_unified/qer_tech_red;QER_TECH_RED
ctf_unified/qer_weapfloor;QER_WEAPFLOOR
ctf_unified/qer_weapfloor_blue;QER_WEAPFLOOR_B
ctf_unified/qer_weapfloor_red;QER_WEAPFLOOR_R
ctf_unified/redenvmap;REDENVMAP
ctf_unified/redenvmap2;REDENVMAP2
ctf_unified/tech;TECH
ctf_unified/wall_logo_blue;WALL_LOGO_BLUE
ctf_unified/wall_logo_red;WALL_LOGO_RED
ctf_unified/weapfloor_1;WEAPFLOOR_10001
ctf_unified/weapfloor_shadow;WEAPFLOOR_SHA01
ctf_unified/weapfloor_shadow;WEAPFLOOR_SHA02
ctf2/blue_banner02;BLUE_BANNER02
ctf2/blueteam01;BLUETEAM01
ctf2/blueteam03;BLUETEAM03
ctf2/ctf_blupad;CTF_BLUPAD
ctf2/ctf_redpad;CTF_REDPAD
ctf2/grenammobutton;GRENAMMOBUTTON
ctf2/jaildr_blue;JAILDR_BLUE
ctf2/orange_banner02;ORANGE_BANNER02
ctf2/orangeteam01;ORANGETEAM01
ctf2/pj_baseboardb;PJ_BASEBOARDB
ctf2/pj_baseboardb_l;PJ_BASEBOARDB_L
ctf2/pj_baseboardr;PJ_BASEBOARDR
ctf2/pj_baseboardr_l;PJ_BASEBOARDR_L
ctf2/red_banner02;RED_BANNER02
ctf2/redteam01;REDTEAM01
ctf2/redteam03;REDTEAM03
dapak/tele;TELE
decker/banner_strgg;BANNER_STRGG
decker/decker_night_sky_back;SKY4
decker/decker_night_sky_back;SKY4
decker/decker_night_sky_front;SKY4
decker/decker_night_sky_front;SKY4
decker/decker_tele;DECKER_TELE
decker_grates/evil_flrgrt_h;EVIL_FLRGRT_H
decker_grates/evil_smllgrt_h;EVIL_SMLLGRT_H
decker_light/redstrip_lt1;REDSTRIP_LT1
decker_light/y_strip_lt;Y_STRIP_LT
decker_sfx/black;BLACK0001020305
decker_sfx/floortilebig_bounce;FLOORTILEBIG_BO
decker_sfx/flr_tmtl_drk_bounce;FLR_TMTL_DRK_BO
decker_sky/night_sky_back;SKY4
decker_sky/night_sky_front;SKY4
decker_trim/drk_mtl;DRK_MTL
decker_trim/drk_mtl;DRK_MTL00
deck-tele/q1_tele;Q1_TELE00
dmmq3dm2/concrete;CONCRETE0001
druzli/cpmlargeblockfloor3;CPMLARGEBLOCKFL
druzli/decker_tele;DECKER_TELE00
ds/DS-Grass1;DS-GRASS1
ds/DS-Grass2;DS-GRASS2
ds/largefloor4;LARGEFLOOR4
ds/RA3-largefloor4;RA3-LARGEFLOOR4
ds/Title-CD;TITLE-CD
ds/Title-CM;TITLE-CM
ds/Title-KK;TITLE-KK
ds/Title-MB;TITLE-MB
ds/zinc_column;ZINC_COLUMN
dustball/dustball_view;DUSTBALL_VIEW
e1u1/c_met11_2;C_MET11_2
e1u1/grate1_3;GRATE1_300
e7/e7beam01;E7BEAM01
e7/e7beam02_blue;E7BEAM02_BLUE00
e7/e7beam02_red;E7BEAM02_RED00
e7/e7bigwall;E7BIGWALL
e7/e7bmtrim;E7BMTRIM
e7/e7bmtrim2;E7BMTRIM200
e7/e7brickfloor01;E7BRICKFLOOR01
e7/e7brickfloor01jump;E7BRICKFLOOR01J
e7/e7brickfloor01jump_r;E7BRICKFLOOR000
e7/e7bricks01;E7BRICKS01
e7/e7brnmetal;E7BRNMETAL
e7/e7evilsky_1;SKY4
e7/e7evilsky_2;SKY4
e7/e7mlight;E7MLIGHT
e7/e7panelwood;E7PANELWOOD00
e7/e7panelwood2;E7PANELWOOD200
e7/e7plate01;E7PLATE01
e7/e7sbrickfloor;E7SBRICKFLOOR
e7/e7sbrickfloor_jump;E7SBRICKFLOOR_J
e7/e7sbrickfloor_jump_r;E7SBRICKFLOOR00
e7/e7sbrickfloorbig;E7SBRICKFLOORBI
e7/e7sfx_lava;#E7SFX_LAVA
e7/e7sky_01;SKY4
e7/e7sky_02;SKY4
e7/e7slight;E7SLIGHT
e7/e7smgrate;E7SMGRATE
e7/e7stepborder2;E7STEPBORDER2
e7/e7steptop2;E7STEPTOP2
e7/e7swindow;E7SWINDOW
e7/e7trimlight;E7TRIMLIGHT
e7/e7walldesign01;E7WALLDESIGN01
e7/e7walldesign01b;E7WALLDESIGN01B
e7/e7wgrate;E7WGRATE
effects/blueflagmap;BLUEFLAGMAP00
effects/envmap;ENVMAP
effects/envmap2;ENVMAP2
effects/envmapbfg;ENVMAPBFG
effects/envmapblue;ENVMAPBLUE
effects/envmapblue2;ENVMAPBLUE2
effects/envmapdim;ENVMAPDIM
effects/envmapdimb;ENVMAPDIMB
effects/envmapgold;ENVMAPGOLD
effects/envmapgold2;ENVMAPGOLD2
effects/envmapgreen;ENVMAPGREEN
effects/envmapligh;ENVMAPLIGH
effects/envmapmach;ENVMAPMACH
effects/envmapplas;ENVMAPPLAS
effects/envmappurp;ENVMAPPURP
effects/envmaprail;ENVMAPRAIL
effects/envmapred;ENVMAPRED
effects/envmaproc;ENVMAPROC
effects/envmapweapblue;ENVMAPWEAPBLUE
effects/envmapweapred;ENVMAPWEAPRED
effects/envmapyel;ENVMAPYEL
effects/icemap;ICEMAP
effects/invismap;INVISMAP
effects/noplayerclip;CLIP
effects/quadmap2;QUADMAP2
effects/redflagmap;REDFLAGMAP00
effects/regenmap2;REGENMAP2
effects/spawnarmormap;SPAWNARMORMAP
effects/spawnarmormap2;SPAWNARMORMAP2
effects/translucent;TRANSLUCENT
effects2/console01;CONSOLE01
effects2/envmap_blu;ENVMAP_BLU
effects2/envmap_red;ENVMAP_RED
effects2/envmap_sky;ENVMAP_SKY
egyptsoc_floor/block04a;BLOCK04A
egyptsoc_floor/block04b;BLOCK04B
egyptsoc_floor/block09a;BLOCK09A
egyptsoc_floor/block10a;BLOCK10A
egyptsoc_floor/block10b;BLOCK10B
egyptsoc_floor/woodmgrid1a;WOODMGRID1A
egyptsoc_mat/block01d;BLOCK01D
egyptsoc_mat/block02c;BLOCK02C
egyptsoc_mat/block02d;BLOCK02D
egyptsoc_mat/sand1b;SAND1B
egyptsoc_mat/wood18;WOOD1800
egyptsoc_trim/032-03a;032-03A
egyptsoc_trim/032-03c;032-03C
egyptsoc_trim/064-02c;064-02C
egyptsoc_trim/064-08b;064-08B
egyptsoc_trim/064-08d;064-08D
egyptsoc_trim/v064-01e;V064-01E
egyptsoc_wall/stone01d;STONE01D
egyptsoc_wall/stone03c;STONE03C
egyptsoc_wall/stone03d;STONE03D
egyptsoc_wall/stone04b;STONE04B
egyptsoc_wall/stone06a;STONE06A
egyptsoc_wall/stone07a;STONE07A
egyptsoc_wall/stone07d;STONE07D
egyptsoc_wall/stone09a;STONE09A
egyptsoc_wall/stone09b;STONE09B
europa_ra3/aclfplr3;ACLFPLR3
europa_ra3/aclfwl3x;ACLFWL3X
europa_ra3/anu_crate;ANU_CRATE
europa_ra3/arrival;ARRIVAL
europa_ra3/base_wall;BASE_WALL
europa_ra3/bluearrows;BLUEARROWS00
europa_ra3/bluetrim01;BLUETRIM01
europa_ra3/concrete_hazard;CONCRETE_HAZARD
europa_ra3/concrete02;CONCRETE02
europa_ra3/concrete04;CONCRETE04
europa_ra3/concrete04dvt;CONCRETE04DVT
europa_ra3/concrete04edged;CONCRETE04EDGED
europa_ra3/concrete04rfhp;CONCRETE04RFHP
europa_ra3/concrete04stair;CONCRETE04STAIR
europa_ra3/crackcrete;CRACKCRETE
europa_ra3/doomed;DOOMED
europa_ra3/e6basegrt_smll;E6BASEGRT_SMLL
europa_ra3/e6bmetal;E6BMETAL
europa_ra3/e6boltstrip;E6BOLTSTRIP
europa_ra3/e6brnmetal;E6BRNMETAL
europa_ra3/e6c_floor_b;E6C_FLOOR_B
europa_ra3/e6cyb0rpipes;E6CYB0RPIPES
europa_ra3/e6dmetal;E6DMETAL
europa_ra3/e6drkbmetalscatched;E6DRKBMETALSCAT
europa_ra3/e6drstmetal;E6DRSTMETAL
europa_ra3/e6drstmetal_b;E6DRSTMETAL_B
europa_ra3/e6dtrimnd;E6DTRIMND
europa_ra3/e6gridergrtwll;E6GRIDERGRTWLL
europa_ra3/e6grtflr2bl;E6GRTFLR2BL
europa_ra3/e6l_floor;E6L_FLOOR
europa_ra3/e6l_stepedge;E6L_STEPEDGE
europa_ra3/e6launchcfloor;E6LAUNCHCFLOOR
europa_ra3/e6launchlfloor;E6LAUNCHLFLOOR
europa_ra3/e6metalfan;E6METALFAN
europa_ra3/e6metalfan_blade;E6METALFAN_BLAD
europa_ra3/e6mtltpnl_light;E6MTLTPNL_LIGHT
europa_ra3/e6panelsym;E6PANELSYM
europa_ra3/e6q3support;E6Q3SUPPORT
europa_ra3/e6simpwallsupp;E6SIMPWALLSUPP
europa_ra3/e6simpwallsupp_blue;E6SIMPWALLSUPP_
europa_ra3/e6simpwallsupp_red;E6SIMPWALLSUP00
europa_ra3/e6simpwallsupp_rst;E6SIMPWALLSUP01
europa_ra3/e6strimlight;E6STRIMLIGHT
europa_ra3/e6symbol_a;E6SYMBOL_A
europa_ra3/e6symbol_b;E6SYMBOL_B
europa_ra3/e6symbol_c;E6SYMBOL_C
europa_ra3/e6symbol_d;E6SYMBOL_D
europa_ra3/e6tekmtlrflr;E6TEKMTLRFLR
europa_ra3/e6tekmtlrflr_h;E6TEKMTLRFLR_H
europa_ra3/e6tileceiling;E6TILECEILING
europa_ra3/e6tinylight;E6TINYLIGHT
europa_ra3/e6trim_basic128;E6TRIM_BASIC128
europa_ra3/e6trim_bsrlight;E6TRIM_BSRLIGHT
europa_ra3/e6trim_ltb;E6TRIM_LTB
europa_ra3/e6v_light;E6V_LIGHT
europa_ra3/e6vertgrt_supp;E6VERTGRT_SUPP
europa_ra3/e6walllight;E6WALLLIGHT
europa_ra3/e6wallsupprt;E6WALLSUPPRT
europa_ra3/e6x_supprt;E6X_SUPPRT
europa_ra3/e6xrst_supprt;E6XRST_SUPPRT
europa_ra3/env/io_bk;IO_BK
europa_ra3/env/io_dn;IO_DN
europa_ra3/env/io_ft;IO_FT
europa_ra3/env/io_lf;IO_LF
europa_ra3/env/io_rt;IO_RT
europa_ra3/env/io_up;IO_UP
europa_ra3/env_blue;ENV_BLUE
europa_ra3/env_red;ENV_RED
europa_ra3/envmap_blu;ENVMAP_BLU00
europa_ra3/envmap_red;ENVMAP_RED00
europa_ra3/hal_bustedcomp2;HAL_BUSTEDCOMP2
europa_ra3/heat_tile02;HEAT_TILE02
europa_ra3/io_qer1;IO_QER1
europa_ra3/io_qer2;IO_QER2
europa_ra3/jupiter;JUPITER
europa_ra3/kilt_conc_bolts1;KILT_CONC_BOL00
europa_ra3/kilt_conc_pattern;KILT_CONC_PATTE
europa_ra3/kilt_doom_stoneshots2;KILT_DOOM_STONE
europa_ra3/kilt_tek_church6a;KILT_TEK_CHURCH
europa_ra3/light_nv;LIGHT_NV
europa_ra3/marbface@256_alpha;MARBFACE@256_AL
europa_ra3/metwall;METWALL00
europa_ra3/metwall02;METWALL02
europa_ra3/mtl_pipeswll_drkc-b;MTL_PIPESWLL_DR
europa_ra3/mtl-wlkway_mid;MTL-WLKWAY_MID
europa_ra3/mtlwll_twrn3drty;MTLWLL_TWRN3DRT
europa_ra3/mtlwll_twrn3drtygrt;MTLWLL_TWRN3D00
europa_ra3/mtlwll_twrn3drtypipes;MTLWLL_TWRN3D01
europa_ra3/nny;NNY
europa_ra3/pavment2;PAVMENT2
europa_ra3/proto_fence;PROTO_FENCE0001
europa_ra3/ra3_blueflag;RA3_BLUEFLAG
europa_ra3/ra3_redflag;RA3_REDFLAG
europa_ra3/ra3_silverflag;RA3_SILVERFLAG
europa_ra3/realm3;REALM3
europa_ra3/realm4;REALM4
europa_ra3/senn_ra3logo_wall;SENN_RA3LOGO_WA
europa_ra3/shiny_black;SHINY_BLACK
europa_ra3/steelrst_trim5;STEELRST_TRIM5
europa_ra3/steelrst_trimtop;STEELRST_TRIMTO
europa_ra3/t8_largeblock02;T8_LARGEBLOCK02
europa_ra3/utdirt;UTDIRT
europa_ra3/vr_vy_metal1;VR_VY_METAL1
europa_ra3/vr_vy_metal2;VR_VY_METAL2
europa_ra3/welcome;WELCOME
europa_ra3/Win-blue2;WIN-BLUE2
europa_ra3/Win-gren;WIN-GREN
evil_basefloor/flr_tmtl_drk;FLR_TMTL_DRK
evil_basewall/mtl_btmwrnblah;MTL_BTMWRNBLAH
evil_basewall/mtl_fnce;MTL_FNCE
evil_basewall/mtl_fnce2;MTL_FNCE2
evil_basewall/mtl_fnce3;MTL_FNCE3
evil_basewall/mtl_grtodd;MTL_GRTODD
evil_basewall/mtl_grtodd2;MTL_GRTODD2
evil_basewall/mtl_midwrn;MTL_MIDWRN
evil_basewall/t_wll_fnctrm;T_WLL_FNCTRM00
evil_basewall/t_wll_fnctrm_ow;T_WLL_FNCTRM_OW
evil_basewall/t_wll_fnctrm_sign2;T_WLL_FNCTRM_01
evil_basewall/t_wll_fnctrm2;T_WLL_FNCTRM2
evil_floor/confllrtile;CONFLLRTILE
evil_floor/confllrtile2pad;CONFLLRTILE2PAD
evil_floors/bdirt2;BDIRT2
evil_floors/cemdrk_oddtile_crked;CEMDRK_ODDTILE_
evil_floors/cemdrk_ot2;CEMDRK_OT2
evil_floors/cemtiledrk;CEMTILEDRK
evil_floors/cemtiledrk_mhbrk;CEMTILEDRK_MHBR
evil_floors/floortilebig;FLOORTILEBIG
evil_grates/smlgrt_rnd;SMLGRT_RND
evil_lights/trim_light;TRIM_LIGHT
evil_metals/mtl_pipeswll_drkb-b;MTL_PIPESWLL_00
evil_metals/mtl_pipeswll_drkd-b;MTL_PIPESWLL_01
evil_metals/mtl_rivplt;MTL_RIVPLT
evil_metals/mtl_rivplt_wrn;MTL_RIVPLT_WRN
evil_metals/mtl_rivplt_wrn2;MTL_RIVPLT_WRN2
evil_metals/mtl_rivplt2;MTL_RIVPLT2
evil_metals/mtl_rivplt2_wrn;MTL_RIVPLT2_WRN
evil_metals/mtl_rivplt2_wrn2;MTL_RIVPLT2_W00
evil_metals/mtl_rivplt2-yellow;MTL_RIVPLT2-YEL
evil_metals/mtl_rivplt2-yellow_ow;MTL_RIVPLT2-Y00
evil_metals/mtldrk0;MTLDRK0
evil_misc/barrel_rst;BARREL_RST
evil_misc/mtl_grtx;MTL_GRTX
evil_misc/mtl_meshplate;MTL_MESHPLATE
evil_misc/mtl_support;MTL_SUPPORT
evil_misc/pipes2;PIPES200
evil_misc/smll_pipes;SMLL_PIPES00
evil_trim/stepside_mtl;STEPSIDE_MTL
evil_trim/steptop_mtl3;STEPTOP_MTL3
evil_trim/trim_drkmtl;TRIM_DRKMTL
evil_trim/trim_odd;TRIM_ODD0001
evil_trim/trim_wrnodd;TRIM_WRNODD00
evil_trims/smllwrnbrd_mr;SMLLWRNBRD_MR00
evil_trims/trim_cementwall1;TRIM_CEMENTWA01
evil_trims/trim_mtlb;TRIM_MTLB00
evil_trims/trim_mtlwrn;TRIM_MTLWRN
evil_trims/trm_rivetmtl0;TRM_RIVETMTL0
evil_trims/trm_rivetmtlgrt;TRM_RIVETMTLGRT
evil_trims/trm_rivetmtlpipes;TRM_RIVETMTLPIP
evil_walls/cementwall;CEMENTWALL
evil_walls/cementwall_btm;CEMENTWALL_BTM
evil_walls/cementwall_btm2;CEMENTWALL_BTM2
evil_walls/cementwall_btmmtl;CEMENTWALL_BTMM
evil_walls/drkcem2;DRKCEM2
evil1_floors/metalflr1c;METALFLR1C
evil1_misc/mtl_support_wrn;MTL_SUPPORT_WRN
evil1_misc/pipes2;PIPES2
evil1_trims/brdmtl_rst;BRDMTL_RST
evil1_trims/smllwrnbrd_mr;SMLLWRNBRD_MR
evil1_trims/trim_mtlb;TRIM_MTLB
evil1_trims/trm_rivetmtl;TRM_RIVETMTL
evil2_misc/smll_pipes;SMLL_PIPES
evil2_trims/trim_odd;TRIM_ODD00
evil2_trims/trim_wrnodd;TRIM_WRNODD
evil6_bmtls/e6bmetal;E6BMETAL00
evil6_bmtls/e6brnmetal;E6BRNMETAL00
evil6_bmtls/e6dmetal;E6DMETAL00
evil6_bmtls/e6drkbmetalscatched;E6DRKBMETALSC00
evil6_bmtls/e6drstmetal;E6DRSTMETAL00
evil6_bmtls/e6drstmetal_b;E6DRSTMETAL_B00
evil6_bmtls/e6tileceiling;E6TILECEILING00
evil6_ctf/e6basegrate_blue;E6BASEGRATE_BLU
evil6_ctf/e6basegrate_red;E6BASEGRATE_RED
evil6_ctf/e6simpwallsupp_blue;E6SIMPWALLSUP02
evil6_ctf/e6simpwallsupp_red;E6SIMPWALLSUP03
evil6_ctf/e6trim_ltb_blue;E6TRIM_LTB_BLUE
evil6_ctf/e6trim_ltb_red;E6TRIM_LTB_RED
evil6_floors/e6bsegrtflr128;E6BSEGRTFLR128
evil6_floors/e6bsegrtflr256;E6BSEGRTFLR256
evil6_floors/e6c_floor;E6C_FLOOR
evil6_floors/e6c_floor_b;E6C_FLOOR_B00
evil6_floors/e6c_floordented;E6C_FLOORDENTED
evil6_floors/e6c_stepedge;E6C_STEPEDGE
evil6_floors/e6grate_flr;E6GRATE_FLR
evil6_floors/e6grate_flr_b;E6GRATE_FLR_B
evil6_floors/e6grate2_flr;E6GRATE2_FLR
evil6_floors/e6grate2_flr_b;E6GRATE2_FLR_B
evil6_floors/e6grtfloorceil;E6GRTFLOORCEIL
evil6_floors/e6grtflr2bl;E6GRTFLR2BL00
evil6_floors/e6l_floor;E6L_FLOOR00
evil6_floors/e6l_stepedge;E6L_STEPEDGE00
evil6_floors/e6launchcfloor;E6LAUNCHCFLOO00
evil6_floors/e6launchengine;E6LAUNCHENGINE
